arrival_time,start_time,finish_time,wait_time,queue_length
30-03-2023 3.02,30-03-2023 3.02,2023-03-30 03:10:07.200000000,7.87,45
30-03-2023 3.02,30-03-2023 3.10,2023-03-30 03:13:55.200000000,3.67,45
30-03-2023 3.02,30-03-2023 3.10,2023-03-30 03:28:37.800000000,18.38,45
30-03-2023 3.02,30-03-2023 3.06,2023-03-30 03:17:31.199999999,11.27,45
30-03-2023 3.02,30-03-2023 3.08,2023-03-30 03:25:52.800000000,17.63,45
30-03-2023 3.02,30-03-2023 3.02,2023-03-30 03:16:33.000000000,14.3,45
30-03-2023 3.02,30-03-2023 3.09,2023-03-30 03:30:25.200000000,21.17,45
30-03-2023 3.02,30-03-2023 3.07,2023-03-30 03:17:52.199999999,10.62,45
30-03-2023 3.02,30-03-2023 3.04,2023-03-30 03:06:34.200000000,2.32,45
30-03-2023 3.02,30-03-2023 3.12,2023-03-30 03:15:01.799999999,2.78,45
30-03-2023 3.02,30-03-2023 3.12,2023-03-30 03:16:40.200000000,4.42,45
30-03-2023 3.02,30-03-2023 3.07,2023-03-30 03:22:12.000000000,14.95,45
30-03-2023 3.02,30-03-2023 3.12,2023-03-30 03:12:39.000000000,0.4,45
30-03-2023 3.02,30-03-2023 3.05,2023-03-30 03:08:32.400000000,3.29,45
30-03-2023 3.02,30-03-2023 3.03,2023-03-30 03:06:45.600000000,3.51,45
30-03-2023 3.02,30-03-2023 3.03,2023-03-30 03:05:03.000000000,1.8,45
30-03-2023 3.02,30-03-2023 3.03,2023-03-30 03:13:21.599999999,10.11,45
30-03-2023 3.02,30-03-2023 3.02,2023-03-30 03:19:08.999999999,16.9,45
30-03-2023 3.02,30-03-2023 3.11,2023-03-30 03:25:03.600000000,13.81,45
30-03-2023 3.02,30-03-2023 3.04,2023-03-30 03:11:01.200000000,6.77,45
30-03-2023 3.02,30-03-2023 3.11,2023-03-30 03:20:06.000000000,8.85,45
30-03-2023 3.02,30-03-2023 3.03,2023-03-30 03:00:29.400000000,-2.76,45
30-03-2023 3.02,30-03-2023 3.10,2023-03-30 03:19:58.800000000,9.73,45
30-03-2023 3.02,30-03-2023 3.05,2023-03-30 03:10:53.400000000,5.64,45
30-03-2023 3.02,30-03-2023 3.02,2023-03-30 03:14:32.400000000,12.29,45
30-03-2023 3.02,30-03-2023 3.04,2023-03-30 03:16:40.800000000,12.43,45
30-03-2023 3.02,30-03-2023 3.05,2023-03-30 03:17:49.800000000,12.58,45
30-03-2023 3.02,30-03-2023 3.02,2023-03-30 03:13:52.800000000,11.63,45
30-03-2023 3.02,30-03-2023 3.12,2023-03-30 03:19:13.800000000,6.98,45
30-03-2023 3.02,30-03-2023 3.02,2023-03-30 03:05:32.400000000,3.29,45
30-03-2023 3.02,30-03-2023 3.11,2023-03-30 03:24:03.000000000,12.8,45
30-03-2023 3.02,30-03-2023 3.05,2023-03-30 03:10:12.000000000,4.95,45
30-03-2023 3.02,30-03-2023 3.09,2023-03-30 03:18:42.600000000,9.46,45
30-03-2023 3.02,30-03-2023 3.03,2023-03-30 03:13:15.000000000,10,45
30-03-2023 3.02,30-03-2023 3.02,2023-03-30 03:20:34.200000000,18.32,45
30-03-2023 3.02,30-03-2023 3.02,2023-03-30 03:14:18.600000000,12.06,45
30-03-2023 3.02,30-03-2023 3.02,2023-03-30 03:13:24.600000000,11.16,45
30-03-2023 3.02,30-03-2023 3.03,2023-03-30 03:10:53.400000000,7.64,45
30-03-2023 4.45,30-03-2023 4.45,2023-03-30 04:53:34.799999999,8.53,3
30-03-2023 4.45,30-03-2023 4.46,2023-03-30 04:58:27.600000000,12.41,3
30-03-2023 4.45,30-03-2023 4.47,2023-03-30 04:59:08.400000000,12.09,3
30-03-2023 5.34,30-03-2023 5.34,2023-03-30 05:37:11.400000000,2.89,50
30-03-2023 5.34,30-03-2023 5.38,2023-03-30 05:46:16.800000000,7.98,50
30-03-2023 5.34,30-03-2023 5.35,2023-03-30 05:47:33.000000000,12.25,50
30-03-2023 5.34,30-03-2023 5.40,2023-03-30 05:49:10.800000000,8.88,50
30-03-2023 5.34,30-03-2023 5.41,2023-03-30 05:52:10.800000000,10.88,50
30-03-2023 5.34,30-03-2023 5.39,2023-03-30 05:46:27.600000000,7.16,50
30-03-2023 5.34,30-03-2023 5.35,2023-03-30 05:37:37.200000000,2.32,50
30-03-2023 5.34,30-03-2023 5.42,2023-03-30 05:56:09.599999999,13.86,50
30-03-2023 5.34,30-03-2023 5.39,2023-03-30 05:43:20.400000000,4.04,50
30-03-2023 5.34,30-03-2023 5.39,2023-03-30 05:43:21.599999999,4.06,50
30-03-2023 5.34,30-03-2023 5.41,2023-03-30 06:02:58.800000000,21.68,50
30-03-2023 5.34,30-03-2023 5.44,2023-03-30 05:54:24.000000000,10.1,50
30-03-2023 5.34,30-03-2023 5.38,2023-03-30 05:51:33.600000000,13.26,50
30-03-2023 5.34,30-03-2023 5.36,2023-03-30 05:51:19.800000000,15.03,50
30-03-2023 5.34,30-03-2023 5.42,2023-03-30 05:53:54.000000000,11.6,50
30-03-2023 5.34,30-03-2023 5.37,2023-03-30 05:38:31.200000000,1.22,50
30-03-2023 5.34,30-03-2023 5.40,2023-03-30 05:49:12.000000000,8.9,50
30-03-2023 5.34,30-03-2023 5.42,2023-03-30 05:47:35.400000000,5.29,50
30-03-2023 5.34,30-03-2023 5.44,2023-03-30 05:55:49.800000000,11.53,50
30-03-2023 5.34,30-03-2023 5.38,2023-03-30 05:50:42.000000000,12.4,50
30-03-2023 5.34,30-03-2023 5.37,2023-03-30 05:46:46.800000000,9.48,50
30-03-2023 5.34,30-03-2023 5.40,2023-03-30 05:48:33.599999999,8.26,50
30-03-2023 5.34,30-03-2023 5.37,2023-03-30 05:38:38.400000000,1.34,50
30-03-2023 5.34,30-03-2023 5.36,2023-03-30 05:43:54.000000000,7.6,50
30-03-2023 5.34,30-03-2023 5.43,2023-03-30 05:51:55.800000000,8.63,50
30-03-2023 5.34,30-03-2023 5.34,2023-03-30 05:49:05.400000000,14.79,50
30-03-2023 5.34,30-03-2023 5.35,2023-03-30 05:42:39.600000000,7.36,50
30-03-2023 5.34,30-03-2023 5.39,2023-03-30 05:57:41.400000000,18.39,50
30-03-2023 5.34,30-03-2023 5.41,2023-03-30 05:53:32.400000000,12.24,50
30-03-2023 5.34,30-03-2023 5.41,2023-03-30 05:55:29.400000000,14.19,50
30-03-2023 5.34,30-03-2023 5.40,2023-03-30 05:54:07.800000000,13.83,50
30-03-2023 5.34,30-03-2023 5.39,2023-03-30 05:51:18.000000000,12,50
30-03-2023 5.34,30-03-2023 5.34,2023-03-30 05:46:29.400000000,12.19,50
30-03-2023 5.34,30-03-2023 5.37,2023-03-30 05:43:57.600000000,6.66,50
30-03-2023 5.34,30-03-2023 5.41,2023-03-30 05:50:16.800000000,8.98,50
30-03-2023 5.34,30-03-2023 5.42,2023-03-30 05:42:01.800000000,-0.27,50
30-03-2023 5.34,30-03-2023 5.38,2023-03-30 05:48:39.599999999,10.36,50
30-03-2023 5.34,30-03-2023 5.37,2023-03-30 05:51:26.400000000,14.14,50
30-03-2023 5.34,30-03-2023 5.34,2023-03-30 05:47:49.800000000,13.53,50
30-03-2023 5.34,30-03-2023 5.35,2023-03-30 05:42:15.600000000,6.96,50
30-03-2023 5.34,30-03-2023 5.43,2023-03-30 05:50:57.000000000,7.65,50
30-03-2023 5.34,30-03-2023 5.37,2023-03-30 05:43:01.200000000,5.72,50
30-03-2023 5.34,30-03-2023 5.37,2023-03-30 05:46:03.000000000,8.75,50
30-03-2023 5.34,30-03-2023 5.37,2023-03-30 05:48:51.000000000,11.55,50
30-03-2023 5.34,30-03-2023 5.36,2023-03-30 05:42:33.000000000,6.25,50
30-03-2023 5.34,30-03-2023 5.39,2023-03-30 05:46:53.400000000,7.59,50
30-03-2023 5.34,30-03-2023 5.44,2023-03-30 05:59:41.400000000,15.39,50
30-03-2023 5.34,30-03-2023 5.35,2023-03-30 05:41:54.000000000,6.6,50
30-03-2023 5.34,30-03-2023 5.35,2023-03-30 05:44:57.600000000,9.66,50
30-03-2023 5.34,30-03-2023 5.34,2023-03-30 05:49:43.800000000,15.43,50
30-03-2023 6.51,30-03-2023 6.51,2023-03-30 07:04:35.800000000,12.93,24
30-03-2023 6.51,30-03-2023 7.00,2023-03-30 07:07:31.000000000,6.85,24
30-03-2023 6.51,30-03-2023 6.51,2023-03-30 06:54:59.800000000,3.33,24
30-03-2023 6.51,30-03-2023 6.59,2023-03-30 07:09:05.800000000,9.43,24
30-03-2023 6.51,30-03-2023 7.01,2023-03-30 07:16:01.599999999,14.36,24
30-03-2023 6.51,30-03-2023 6.53,2023-03-30 07:02:49.600000000,9.16,24
30-03-2023 6.51,30-03-2023 6.52,2023-03-30 06:59:44.200000000,7.07,24
30-03-2023 6.51,30-03-2023 6.58,2023-03-30 07:25:38.800000000,26.98,24
30-03-2023 6.51,30-03-2023 6.57,2023-03-30 07:15:21.400000000,17.69,24
30-03-2023 6.51,30-03-2023 6.56,2023-03-30 07:04:50.200000000,8.17,24
30-03-2023 6.51,30-03-2023 6.52,2023-03-30 07:05:47.199999999,13.12,24
30-03-2023 6.51,30-03-2023 6.51,2023-03-30 06:55:07.000000000,3.45,24
30-03-2023 6.51,30-03-2023 6.55,2023-03-30 07:07:08.800000000,11.48,24
30-03-2023 6.51,30-03-2023 6.59,2023-03-30 06:59:13.600000000,-0.44,24
30-03-2023 6.51,30-03-2023 6.57,2023-03-30 07:10:26.199999999,12.77,24
30-03-2023 6.51,30-03-2023 6.52,2023-03-30 07:02:08.800000000,9.48,24
30-03-2023 6.51,30-03-2023 6.51,2023-03-30 07:10:19.000000000,18.65,24
30-03-2023 6.51,30-03-2023 6.53,2023-03-30 07:06:17.199999999,12.62,24
30-03-2023 6.51,30-03-2023 6.51,2023-03-30 07:04:53.800000000,13.23,24
30-03-2023 6.51,30-03-2023 6.54,2023-03-30 07:06:58.000000000,12.3,24
30-03-2023 6.51,30-03-2023 7.01,2023-03-30 07:06:16.000000000,4.6,24
30-03-2023 6.51,30-03-2023 6.55,2023-03-30 06:54:34.600000000,-1.09,24
30-03-2023 6.51,30-03-2023 7.00,2023-03-30 07:08:17.800000000,7.63,24
30-03-2023 6.51,30-03-2023 6.53,2023-03-30 07:04:30.400000000,10.84,24
30-03-2023 7.14,30-03-2023 7.14,2023-03-30 07:22:55.400000000,8.59,3
30-03-2023 7.14,30-03-2023 7.24,2023-03-30 07:37:00.200000000,12.67,3
30-03-2023 7.14,30-03-2023 7.16,2023-03-30 07:21:24.800000000,5.08,3
30-03-2023 8.42,30-03-2023 8.42,2023-03-30 08:46:29.000000000,3.7,47
30-03-2023 8.42,30-03-2023 8.43,2023-03-30 08:47:57.799999999,4.18,47
30-03-2023 8.42,30-03-2023 8.42,2023-03-30 08:42:24.200000000,-0.38,47
30-03-2023 8.42,30-03-2023 8.45,2023-03-30 08:52:08.000000000,6.35,47
30-03-2023 8.42,30-03-2023 8.45,2023-03-30 08:54:27.200000000,8.67,47
30-03-2023 8.42,30-03-2023 8.50,2023-03-30 09:03:23.599999999,12.61,47
30-03-2023 8.42,30-03-2023 8.50,2023-03-30 09:00:28.400000000,9.69,47
30-03-2023 8.42,30-03-2023 8.42,2023-03-30 08:49:24.800000000,6.63,47
30-03-2023 8.42,30-03-2023 8.50,2023-03-30 09:04:26.000000000,13.65,47
30-03-2023 8.42,30-03-2023 8.42,2023-03-30 08:52:03.800000000,9.28,47
30-03-2023 8.42,30-03-2023 8.48,2023-03-30 09:03:36.800000000,14.83,47
30-03-2023 8.42,30-03-2023 8.49,2023-03-30 08:56:06.200000000,6.32,47
30-03-2023 8.42,30-03-2023 8.47,2023-03-30 08:58:27.800000000,10.68,47
30-03-2023 8.42,30-03-2023 8.50,2023-03-30 08:59:22.400000000,8.59,47
30-03-2023 8.42,30-03-2023 8.48,2023-03-30 09:00:05.000000000,11.3,47
30-03-2023 8.42,30-03-2023 8.43,2023-03-30 09:00:47.600000000,17.01,47
30-03-2023 8.42,30-03-2023 8.51,2023-03-30 09:05:08.599999999,13.36,47
30-03-2023 8.42,30-03-2023 8.44,2023-03-30 08:46:10.399999999,1.39,47
30-03-2023 8.42,30-03-2023 8.42,2023-03-30 08:49:26.000000000,6.65,47
30-03-2023 8.42,30-03-2023 8.51,2023-03-30 09:04:55.400000000,13.14,47
30-03-2023 8.42,30-03-2023 8.45,2023-03-30 08:55:02.000000000,9.25,47
30-03-2023 8.42,30-03-2023 8.50,2023-03-30 08:56:25.400000000,5.64,47
30-03-2023 8.42,30-03-2023 8.46,2023-03-30 09:01:08.000000000,14.35,47
30-03-2023 8.42,30-03-2023 8.44,2023-03-30 08:56:34.400000000,11.79,47
30-03-2023 8.42,30-03-2023 8.46,2023-03-30 08:58:37.400000000,11.84,47
30-03-2023 8.42,30-03-2023 8.46,2023-03-30 08:47:54.800000000,1.13,47
30-03-2023 8.42,30-03-2023 8.46,2023-03-30 08:52:48.200000000,6.02,47
30-03-2023 8.42,30-03-2023 8.49,2023-03-30 08:49:32.000000000,-0.25,47
30-03-2023 8.42,30-03-2023 8.44,2023-03-30 08:55:47.000000000,11,47
30-03-2023 8.42,30-03-2023 8.49,2023-03-30 08:56:23.600000000,6.61,47
30-03-2023 8.42,30-03-2023 8.49,2023-03-30 09:06:46.399999999,16.99,47
30-03-2023 8.42,30-03-2023 8.46,2023-03-30 08:48:51.199999999,2.07,47
30-03-2023 8.42,30-03-2023 8.44,2023-03-30 09:03:32.000000000,18.75,47
30-03-2023 8.42,30-03-2023 8.51,2023-03-30 09:07:50.000000000,16.05,47
30-03-2023 8.42,30-03-2023 8.44,2023-03-30 08:54:27.200000000,9.67,47
30-03-2023 8.42,30-03-2023 8.46,2023-03-30 08:59:45.800000000,12.98,47
30-03-2023 8.42,30-03-2023 8.43,2023-03-30 08:59:27.800000000,15.68,47
30-03-2023 8.42,30-03-2023 8.47,2023-03-30 09:00:23.000000000,12.6,47
30-03-2023 8.42,30-03-2023 8.52,2023-03-30 09:04:59.000000000,12.2,47
30-03-2023 8.42,30-03-2023 8.48,2023-03-30 08:52:24.200000000,3.62,47
30-03-2023 8.42,30-03-2023 8.44,2023-03-30 08:53:34.400000000,8.79,47
30-03-2023 8.42,30-03-2023 8.46,2023-03-30 08:52:12.799999999,5.43,47
30-03-2023 8.42,30-03-2023 8.42,2023-03-30 09:01:57.800000000,19.18,47
30-03-2023 8.42,30-03-2023 8.49,2023-03-30 09:06:03.800000000,16.28,47
30-03-2023 8.42,30-03-2023 8.48,2023-03-30 08:59:35.000000000,10.8,47
30-03-2023 8.42,30-03-2023 8.49,2023-03-30 09:01:44.000000000,11.95,47
30-03-2023 8.42,30-03-2023 8.48,2023-03-30 08:46:56.600000000,-1.84,47
30-03-2023 9.49,30-03-2023 9.49,2023-03-30 09:58:34.000000000,9.5,10
30-03-2023 9.49,30-03-2023 9.49,2023-03-30 09:57:23.800000000,8.33,10
30-03-2023 9.49,30-03-2023 9.50,2023-03-30 09:52:20.799999999,2.28,10
30-03-2023 9.49,30-03-2023 9.50,2023-03-30 09:56:55.000000000,6.85,10
30-03-2023 9.49,30-03-2023 9.58,2023-03-30 10:05:26.800000000,7.38,10
30-03-2023 9.49,30-03-2023 9.50,2023-03-30 10:02:41.800000000,12.63,10
30-03-2023 9.49,30-03-2023 9.58,2023-03-30 10:12:02.800000000,13.98,10
30-03-2023 9.49,30-03-2023 9.52,2023-03-30 10:04:28.000000000,12.4,10
30-03-2023 9.49,30-03-2023 9.57,2023-03-30 10:08:35.199999999,11.52,10
30-03-2023 9.49,30-03-2023 9.59,2023-03-30 10:13:34.600000000,14.51,10
30-03-2023 10.31,30-03-2023 10.31,2023-03-30 10:44:31.400000000,13.14,32
30-03-2023 10.31,30-03-2023 10.35,2023-03-30 10:40:59.000000000,5.6,32
30-03-2023 10.31,30-03-2023 10.37,2023-03-30 10:48:41.000000000,11.3,32
30-03-2023 10.31,30-03-2023 10.33,2023-03-30 10:44:06.200000000,10.72,32
30-03-2023 10.31,30-03-2023 10.31,2023-03-30 10:36:47.600000000,5.41,32
30-03-2023 10.31,30-03-2023 10.31,2023-03-30 10:45:21.800000000,13.98,32
30-03-2023 10.31,30-03-2023 10.34,2023-03-30 10:45:29.000000000,11.1,32
30-03-2023 10.31,30-03-2023 10.41,2023-03-30 10:51:06.800000000,9.73,32
30-03-2023 10.31,30-03-2023 10.38,2023-03-30 10:47:33.200000000,9.17,32
30-03-2023 10.31,30-03-2023 10.32,2023-03-30 10:39:00.200000000,6.62,32
30-03-2023 10.31,30-03-2023 10.38,2023-03-30 10:47:40.400000000,9.29,32
30-03-2023 10.31,30-03-2023 10.37,2023-03-30 10:39:12.200000000,1.82,32
30-03-2023 10.31,30-03-2023 10.41,2023-03-30 10:47:42.800000000,6.33,32
30-03-2023 10.31,30-03-2023 10.34,2023-03-30 10:46:30.199999999,12.12,32
30-03-2023 10.31,30-03-2023 10.31,2023-03-30 10:37:44.000000000,6.35,32
30-03-2023 10.31,30-03-2023 10.35,2023-03-30 10:44:29.599999999,9.11,32
30-03-2023 10.31,30-03-2023 10.41,2023-03-30 10:53:36.200000000,12.22,32
30-03-2023 10.31,30-03-2023 10.33,2023-03-30 10:44:02.000000000,10.65,32
30-03-2023 10.31,30-03-2023 10.33,2023-03-30 10:44:15.800000000,10.88,32
30-03-2023 10.31,30-03-2023 10.39,2023-03-30 10:54:21.200000000,14.97,32
30-03-2023 10.31,30-03-2023 10.37,2023-03-30 10:51:24.199999999,14.02,32
30-03-2023 10.31,30-03-2023 10.35,2023-03-30 10:41:16.400000000,5.89,32
30-03-2023 10.31,30-03-2023 10.32,2023-03-30 10:40:09.200000000,7.77,32
30-03-2023 10.31,30-03-2023 10.34,2023-03-30 10:53:14.600000000,18.86,32
30-03-2023 10.31,30-03-2023 10.32,2023-03-30 10:38:25.400000000,6.04,32
30-03-2023 10.31,30-03-2023 10.36,2023-03-30 10:38:43.399999999,2.34,32
30-03-2023 10.31,30-03-2023 10.31,2023-03-30 10:43:58.400000000,12.59,32
30-03-2023 10.31,30-03-2023 10.40,2023-03-30 10:50:53.000000000,10.5,32
30-03-2023 10.31,30-03-2023 10.35,2023-03-30 10:47:15.199999999,11.87,32
30-03-2023 10.31,30-03-2023 10.31,2023-03-30 10:43:34.400000000,12.19,32
30-03-2023 10.31,30-03-2023 10.33,2023-03-30 10:42:10.400000000,8.79,32
30-03-2023 10.31,30-03-2023 10.38,2023-03-30 10:39:24.800000000,1.03,32
30-03-2023 11.32,30-03-2023 11.32,2023-03-30 11:36:39.200000000,4.17,2
30-03-2023 11.32,30-03-2023 11.32,2023-03-30 11:36:58.400000000,4.49,2
30-03-2023 12.33,30-03-2023 12.33,2023-03-30 12:49:45.999999999,16.65,40
30-03-2023 12.33,30-03-2023 12.35,2023-03-30 12:45:49.600000000,10.71,40
30-03-2023 12.33,30-03-2023 12.39,2023-03-30 12:46:31.600000000,7.41,40
30-03-2023 12.33,30-03-2023 12.43,2023-03-30 13:07:39.399999999,24.54,40
30-03-2023 12.33,30-03-2023 12.38,2023-03-30 12:52:29.199999999,14.37,40
30-03-2023 12.33,30-03-2023 12.40,2023-03-30 12:46:10.599999999,6.06,40
30-03-2023 12.33,30-03-2023 12.36,2023-03-30 12:40:23.200000000,4.27,40
30-03-2023 12.33,30-03-2023 12.37,2023-03-30 12:37:46.600000000,0.66,40
30-03-2023 12.33,30-03-2023 12.43,2023-03-30 12:51:53.799999999,8.78,40
30-03-2023 12.33,30-03-2023 12.37,2023-03-30 12:44:00.400000000,6.89,40
30-03-2023 12.33,30-03-2023 12.42,2023-03-30 12:52:08.800000000,10.03,40
30-03-2023 12.33,30-03-2023 12.41,2023-03-30 12:57:34.000000000,16.45,40
30-03-2023 12.33,30-03-2023 12.40,2023-03-30 12:49:16.000000000,9.15,40
30-03-2023 12.33,30-03-2023 12.36,2023-03-30 12:46:44.800000000,10.63,40
30-03-2023 12.33,30-03-2023 12.40,2023-03-30 12:59:03.400000000,18.94,40
30-03-2023 12.33,30-03-2023 12.36,2023-03-30 12:46:46.600000000,10.66,40
30-03-2023 12.33,30-03-2023 12.34,2023-03-30 12:49:01.000000000,14.9,40
30-03-2023 12.33,30-03-2023 12.36,2023-03-30 12:48:37.600000000,12.51,40
30-03-2023 12.33,30-03-2023 12.39,2023-03-30 12:46:11.800000000,7.08,40
30-03-2023 12.33,30-03-2023 12.42,2023-03-30 12:47:44.200000000,5.62,40
30-03-2023 12.33,30-03-2023 12.38,2023-03-30 12:58:21.399999999,20.24,40
